product,Dawn0,Dusk0,MidDark1,Dawn1,MidLight1,Dusk1,MidDark2,Dawn2,MidLight2,Dusk2,Dark24,Light24
Npun_F1400 : hypothetical protein,-0.86832072,-0.013250062,-0.719920027,-0.854187321,-0.129850606,0.181084179,-0.377185094,-0.726986727,0.56621931,1.029088137,-0.635119631,2.548428562
Npun_F1404 : phage tail protein,-0.935826897,0.083944605,-0.618702833,-0.942045016,-0.351323719,0.3451056,-0.438377384,-0.767937687,0.699538378,1.147242941,-0.600048476,2.378430487
Npun_F1402 : phage tail sheath protein,-0.898731503,-0.251716314,-0.709274017,-0.880858155,-0.158774906,0.209416058,-0.376829748,-0.741446043,1.06376208,1.088784767,-0.655653973,2.311321753
Npun_F1401 : hypothetical protein,-0.908936555,-0.138285861,-0.702679678,-0.884560742,-0.158911548,0.274227893,-0.406419801,-0.753306366,0.761744148,1.27738634,-0.678303866,2.318046037
Npun_F1403 : phage tail sheath protein fi-like protein,-1.019486536,-0.195191885,-0.668549209,-0.913389205,-0.146223886,0.465876102,-0.382902548,-0.774646541,0.702554764,1.314654752,-0.627742543,2.245046734
Npun_F1018 : hypothetical protein,-0.475244975,0.268616725,-0.723198875,-1.219106674,0.020662825,0.268616725,-0.475244975,-0.723198875,0.268616725,1.012478425,-0.723198875,2.500201824
Npun_R2843 : hypothetical protein,-0.299684945,-0.190708601,-1.06251935,-1.171495693,0.245196773,0.136220429,-0.626613975,-0.735590319,0.572125804,1.225983865,-0.408661288,2.315747301
Npun_F1409 : hypothetical protein,-0.93392211,0.422722639,-0.52103023,-0.992906664,-0.580014784,0.245768976,-0.580014784,-0.815953001,0.245768976,1.366475509,-0.167122904,2.310228378
Npun_F1406 : phage tail protein,-0.939692983,-0.076613904,-0.677016742,-0.902167806,-0.301764968,0.167299749,-0.4143405,-0.677016742,0.523788934,1.386868013,-0.470628266,2.381285214
Npun_F1407 : hypothetical protein,-0.913048265,-0.20143539,-0.698434858,-0.879161937,-0.393457912,0.205200538,-0.416048797,-0.675843973,0.385927617,1.425108322,-0.24661716,2.407811816
