sample,timepoint,stage,replicate
Dawn0-1,Dawn0,Dawn,1
Dawn0-2,Dawn0,Dawn,2
Dawn0-3,Dawn0,Dawn,3
Dusk0-1,Dusk0,Dusk,1
Dusk0-2,Dusk0,Dusk,2
Dusk0-3,Dusk0,Dusk,3
MidDark1-1,MidDark1,Night,1
MidDark1-2,MidDark1,Night,2
MidDark1-3,MidDark1,Night,3
Dawn1-1,Dawn1,Dawn,1
Dawn1-2,Dawn1,Dawn,2
Dawn1-3,Dawn1,Dawn,3
MidLight1-1,MidLight1,Day,1
MidLight1-2,MidLight1,Day,2
MidLight1-3,MidLight1,Day,3
Dusk1-1,Dusk1,Dusk,1
Dusk1-2,Dusk1,Dusk,2
Dusk1-3,Dusk1,Dusk,3
MidDark2-1,MidDark2,Night,1
MidDark2-2,MidDark2,Night,2
MidDark2-3,MidDark2,Night,3
Dawn2-1,Dawn2,Dawn,1
Dawn2-2,Dawn2,Dawn,2
Dawn2-3,Dawn2,Dawn,3
MidLight2-1,MidLight2,Day,1
MidLight2-2,MidLight2,Day,2
MidLight2-3,MidLight2,Day,3
Dusk2-1,Dusk2,Dusk,1
Dusk2-2,Dusk2,Dusk,2
Dusk2-3,Dusk2,Dusk,3
Dark24-1,Dark24,Night,1
Dark24-2,Dark24,Night,2
Dark24-3,Dark24,Night,3
Light24-1,Light24,Day,1
Light24-2,Light24,Day,2
Light24-3,Light24,Day,3
