"Gene1","Gene2","CorrelationValue"
"Npun_F1000","Npun_R0147",0.857253767323543
"Npun_F1000","Npun_R0179",0.759266666041227
"Npun_F1000","Npun_F0267",0.782911599352692
"Npun_F1000","Npun_F0275",0.809447821351026
"Npun_F1000","Npun_R0295",0.87206264770128
"Npun_F1000","Npun_R0361",0.780106155236089
"Npun_F1000","Npun_F0554",0.775475831731218
"Npun_F1000","Npun_F0634",0.808006338247507
"Npun_F1000","Npun_R0661",0.804632125295878
"Npun_F1000","Npun_F0700",0.77210810567392
"Npun_F1000","Npun_R0733",0.755039980564582
"Npun_F1000","Npun_R0883",0.826829287286188
"Npun_F1000","Npun_F0912",0.760347780381299
"Npun_F1000","Npun_F1000",1
"Npun_F1000","Npun_R1012",0.757886164209718
"Npun_F1000","Npun_F1025",0.819581954535784
"Npun_F1000","Npun_F1058",0.750157245810176
"Npun_F1000","Npun_R1061",0.787593165380983
"Npun_F1000","Npun_R1082",0.758164484390838
"Npun_F1000","Npun_F1088",0.815134312402034
"Npun_F1000","Npun_F1146",0.761389527307424
"Npun_F1000","Npun_R1201",0.765532628260196
"Npun_F1000","Npun_F1348",0.824892882385783
"Npun_F1000","Npun_F1458",0.861475077862165
"Npun_F1000","Npun_R1471",0.815382955026806
"Npun_F1000","Npun_R1491",0.766927395288598
"Npun_F1000","Npun_F1534",0.906421958168269
"Npun_F1000","Npun_R1557",0.751129944774991
"Npun_F1000","Npun_F1591",0.752780672184103
"Npun_F1000","Npun_R1615",0.76935646706783
"Npun_F1000","Npun_R1724",0.77325621215099
"Npun_F1000","Npun_F1752",0.882259137298564
"Npun_F1000","Npun_F1799",0.852677464849185
"Npun_F1000","Npun_F1818",0.765124402457938
"Npun_F1000","Npun_R1866",0.832631203873022
"Npun_F1000","Npun_R1926",0.797428368246566
"Npun_F1000","Npun_R1954",0.789168492296034
"Npun_F1000","Npun_R1955",0.860398835347109
"Npun_F1000","Npun_R2032",0.792208014539867
"Npun_F1000","Npun_F2181",0.758917300779142
"Npun_F1000","Npun_F2192",0.819412595174963
"Npun_F1000","Npun_F2193",0.823990265448966
"Npun_F1000","Npun_R2265",0.763657683381643
"Npun_F1000","Npun_R2296",0.81031828798733
"Npun_F1000","Npun_R2427",0.788770993774145
"Npun_F1000","Npun_R2431",0.86642827876177
"Npun_F1000","Npun_F2436",0.837796316417112
"Npun_F1000","Npun_F2457",0.803183553295484
"Npun_F1000","Npun_F2502",0.875893037976674
"Npun_F1000","Npun_F2516",0.864190582615168
"Npun_F1000","Npun_R2526",0.762708375211085
"Npun_F1000","Npun_R2544",0.82511921588682
"Npun_F1000","Npun_R2763",0.822337042205275
"Npun_F1000","Npun_F2954",0.764843022279979
"Npun_F1000","Npun_F3015",0.758862424615047
"Npun_F1000","Npun_F3132",0.771947132672296
"Npun_F1000","Npun_F3201",0.815152552722818
"Npun_F1000","Npun_R3328",0.759785738727875
"Npun_F1000","Npun_F3344",0.785449963452533
"Npun_F1000","Npun_R3345",0.764547765866049
"Npun_F1000","Npun_R3355",0.82212954391522
"Npun_F1000","Npun_R3389",0.765314910297336
"Npun_F1000","Npun_R3474",0.828558930306167
"Npun_F1000","Npun_F3560",0.818681728064587
"Npun_F1000","Npun_R3578",0.806058647168133
"Npun_F1000","Npun_F3638",0.829821376473991
"Npun_F1000","Npun_F3640",0.8771957704429
"Npun_F1000","Npun_F3681",0.79357291775714
"Npun_F1000","Npun_F3682",0.814838271639604
"Npun_F1000","Npun_F3747",0.765672414197183
"Npun_F1000","Npun_R3907",0.816715792752245
"Npun_F1000","Npun_F3948",0.75711401377553
"Npun_F1000","Npun_R3961",0.830421803997654
"Npun_F1000","Npun_R3962",0.800475671432377
"Npun_F1000","Npun_F4015",0.783040122455535
"Npun_F1000","Npun_F4032",0.936469280950194
"Npun_F1000","Npun_F4140",0.820610965644103
"Npun_F1000","Npun_R4144",0.766284703969151
"Npun_F1000","Npun_F4180",0.855422326045239
"Npun_F1000","Npun_R4203",0.805252922276933
"Npun_F1000","Npun_F4214",0.758998110261503
"Npun_F1000","Npun_R4217",0.813505237970605
"Npun_F1000","Npun_F4219",0.799149972659977
"Npun_F1000","Npun_F4277",0.837947088847374
"Npun_F1000","Npun_F4297",0.758364936295531
"Npun_F1000","Npun_F4348",0.776849193648015
"Npun_F1000","Npun_R4409",0.820273232899306
"Npun_F1000","Npun_F4459",0.770222045009403
"Npun_F1000","Npun_F4462",0.88132642605823
"Npun_F1000","Npun_R4467",0.782825835371703
"Npun_F1000","Npun_F4480",0.753327211457016
"Npun_F1000","Npun_F4540",0.751354266540371
"Npun_F1000","Npun_F4549",0.759784744665656
"Npun_F1000","Npun_R4658",0.792083996908163
"Npun_F1000","Npun_R4692",0.76075820230128
"Npun_F1000","Npun_R4736",0.778233612842934
"Npun_F1000","Npun_R4792",0.777117699322346
"Npun_F1000","Npun_R4918",0.792352269076966
"Npun_F1000","Npun_R4929",0.796442696878045
"Npun_F1000","Npun_F4976",0.838379601825965
"Npun_F1000","Npun_F5018",0.76504386606126
"Npun_F1000","Npun_R5139",0.804174689124803
"Npun_F1000","Npun_R5167",0.792271091033618
"Npun_F1000","Npun_F5181",0.799122733701285
"Npun_F1000","Npun_R5220",0.853202595632483
"Npun_F1000","Npun_R5247",0.75592054240749
"Npun_F1000","Npun_R5265",0.759659999380771
"Npun_F1000","Npun_F5285",0.782485447900481
"Npun_F1000","Npun_F5428",0.752322624143946
"Npun_F1000","Npun_R5434",0.794168402328339
"Npun_F1000","Npun_R5529",0.811837576334144
"Npun_F1000","Npun_R5579",0.772888466766062
"Npun_F1000","Npun_F5609",0.784416137620251
"Npun_F1000","Npun_R5610",0.751455607679322
"Npun_F1000","Npun_F5710",0.762682865468184
"Npun_F1000","Npun_R5818",0.761900686780375
"Npun_F1000","Npun_R5833",0.825295636368049
"Npun_F1000","Npun_F5894",0.76956580670232
"Npun_F1000","Npun_R5898",0.752766553507137
"Npun_F1000","Npun_R5940",0.851851745922333
"Npun_F1000","Npun_F5950",0.786164113148915
"Npun_F1000","Npun_F5972",0.795110017889554
"Npun_F1000","Npun_R6127",0.872006903415312
"Npun_F1000","Npun_R6289",0.843139862521553
"Npun_F1000","Npun_R6398",0.779147218297211
"Npun_F1000","Npun_R6427",0.825626082208446
"Npun_F1000","Npun_F6481",0.829807080250808
"Npun_F1000","Npun_AF013",0.768973363285353
"Npun_F1000","Npun_AF020",0.760038002850237
"Npun_F1000","Npun_AR065",0.760790357120901
"Npun_F1000","Npun_AR230",0.819568104622229
"Npun_F1000","Npun_CR007",0.775677031545184
"Npun_F1000","Npun_CR008",0.792685650263753
"Npun_F1000","Npun_CR009",0.85548148754687
"Npun_F1000","Npun_CR010",0.793759279853468
"Npun_F1000","Npun_CR023",0.803493160797106
"Npun_F1000","Npun_CR024",0.904083070588668
"Npun_F1000","Npun_CR071",0.762650197585319
