"Gene1","Gene2","CorrelationValue"
"Npun_F6362","Npun_F0077",-0.832849040713996
"Npun_F6362","Npun_R0131",-0.833257618764353
"Npun_F6362","Npun_R0132",-0.766992727600776
"Npun_F6362","Npun_R0243",-0.778341963348361
"Npun_F6362","Npun_F0261",-0.904381492642752
"Npun_F6362","Npun_F0268",-0.818619669915939
"Npun_F6362","Npun_F0277",-0.785868713878437
"Npun_F6362","Npun_F0278",-0.753638000972847
"Npun_F6362","Npun_R0302",-0.888037159660461
"Npun_F6362","Npun_F0318",-0.787394371065477
"Npun_F6362","Npun_F0327",-0.766536919269597
"Npun_F6362","Npun_F0448",-0.890632770428064
"Npun_F6362","Npun_F0523",-0.854179695564018
"Npun_F6362","Npun_R0563",-0.789644685131003
"Npun_F6362","Npun_F0583",-0.819067799152407
"Npun_F6362","Npun_R0630",-0.860164172642785
"Npun_F6362","Npun_R0678",-0.760903880527783
"Npun_F6362","Npun_F0723",-0.847609322404256
"Npun_F6362","Npun_R0726",-0.753644011195707
"Npun_F6362","Npun_F0760",-0.770074276525906
"Npun_F6362","Npun_R0782",-0.799419806455481
"Npun_F6362","Npun_F0822",-0.767716648542903
"Npun_F6362","Npun_R0830",-0.759968547666139
"Npun_F6362","Npun_F0849",-0.805557778999186
"Npun_F6362","Npun_R0879",-0.768920779039225
"Npun_F6362","Npun_R0884",-0.765894590813759
"Npun_F6362","Npun_F0888",-0.826385622327055
"Npun_F6362","Npun_R0889",-0.856822100678682
"Npun_F6362","Npun_F0894",-0.753269099430909
"Npun_F6362","Npun_F0907",-0.787838806685403
"Npun_F6362","Npun_R0914",-0.908312583336101
"Npun_F6362","Npun_F0962",-0.77244230100248
"Npun_F6362","Npun_F0963",-0.76405927562521
"Npun_F6362","Npun_F0980",-0.934476936449034
"Npun_F6362","Npun_F0981",-0.814082628373715
"Npun_F6362","Npun_R0987",-0.758115223300782
"Npun_F6362","Npun_R0988",-0.882295461448646
"Npun_F6362","Npun_R1002",-0.844427163333041
"Npun_F6362","Npun_F1011",-0.828111928977839
"Npun_F6362","Npun_R1014",-0.846107132871288
"Npun_F6362","Npun_R1017",-0.805377067255696
"Npun_F6362","Npun_F1018",-0.846006306298313
"Npun_F6362","Npun_F1056",-0.850452421761361
"Npun_F6362","Npun_R1081",-0.942004081837657
"Npun_F6362","Npun_F1096",-0.812836882933865
"Npun_F6362","Npun_F1103",-0.857127162084537
"Npun_F6362","Npun_R1107",-0.825708152119429
"Npun_F6362","Npun_F1141",-0.82458755548665
"Npun_F6362","Npun_F1169",-0.812359982624956
"Npun_F6362","Npun_R1200",-0.864120452706636
"Npun_F6362","Npun_R1202",-0.764260856758787
"Npun_F6362","Npun_R1218",-0.865564424673996
"Npun_F6362","Npun_F1219",-0.85998660013701
"Npun_F6362","Npun_F1220",-0.849568411102169
"Npun_F6362","Npun_F1228",-0.762952426449058
"Npun_F6362","Npun_R1240",-0.807574891020305
"Npun_F6362","Npun_F1377",-0.802312632802158
"Npun_F6362","Npun_F1383",-0.78093731468458
"Npun_F6362","Npun_F1400",-0.790088517069179
"Npun_F6362","Npun_F1401",-0.797990771748474
"Npun_F6362","Npun_F1402",-0.790574990543762
"Npun_F6362","Npun_F1403",-0.79067210736356
"Npun_F6362","Npun_F1404",-0.821884483552915
"Npun_F6362","Npun_F1406",-0.78857596903349
"Npun_F6362","Npun_F1407",-0.759168408911214
"Npun_F6362","Npun_F1408",-0.810692138035992
"Npun_F6362","Npun_F1409",-0.826927343739762
"Npun_F6362","Npun_F1410",-0.773081584112565
"Npun_F6362","Npun_F1411",-0.756063841372781
"Npun_F6362","Npun_F1412",-0.852260635806108
"Npun_F6362","Npun_F1413",-0.852399645917073
"Npun_F6362","Npun_F1414",-0.849134262710303
"Npun_F6362","Npun_F1415",-0.918492650399571
"Npun_F6362","Npun_F1416",-0.941655510117059
"Npun_F6362","Npun_F1417",-0.806033293118076
"Npun_F6362","Npun_R1431",-0.799597240133598
"Npun_F6362","Npun_R1432",-0.757865408637087
"Npun_F6362","Npun_F1484",-0.751700174574252
"Npun_F6362","Npun_R1506",-0.915558655742784
"Npun_F6362","Npun_R1507",-0.885271737876861
"Npun_F6362","Npun_R1517",-0.758812251878093
"Npun_F6362","Npun_R1542",-0.776041851878144
"Npun_F6362","Npun_R1548",-0.8246758027701
"Npun_F6362","Npun_R1559",-0.86663352597802
"Npun_F6362","Npun_R1580",-0.814062296316884
"Npun_F6362","Npun_R1606",-0.750682931898637
"Npun_F6362","Npun_R1621",-0.832643731742231
"Npun_F6362","Npun_R1631",-0.852037085756502
"Npun_F6362","Npun_R1687",-0.767713623111524
"Npun_F6362","Npun_R1698",-0.842616467103892
"Npun_F6362","Npun_R1723",-0.765345958458564
"Npun_F6362","Npun_R1725",-0.859347374497796
"Npun_F6362","Npun_F1738",-0.912033617515148
"Npun_F6362","Npun_F1746",-0.801158147330543
"Npun_F6362","Npun_F1747",-0.852796618538542
"Npun_F6362","Npun_F1748",-0.827873681701963
"Npun_F6362","Npun_F1749",-0.825041677154667
"Npun_F6362","Npun_F1750",-0.769900015787173
"Npun_F6362","Npun_R1783",-0.782262074922082
"Npun_F6362","Npun_F1833",-0.796855327096042
"Npun_F6362","Npun_F1846",-0.843825919626438
"Npun_F6362","Npun_R1916",-0.848813896836309
"Npun_F6362","Npun_F1932",-0.871416998904682
"Npun_F6362","Npun_F1933",-0.832473517376232
"Npun_F6362","Npun_R1936",-0.802412978145637
"Npun_F6362","Npun_R1968",-0.864502363230291
"Npun_F6362","Npun_R1991",-0.763063097864835
"Npun_F6362","Npun_R1996",-0.819793810970969
"Npun_F6362","Npun_R1997",-0.862747431211524
"Npun_F6362","Npun_F2020",-0.812303550948199
"Npun_F6362","Npun_F2116",-0.76947013699713
"Npun_F6362","Npun_F2208",-0.824497263259592
"Npun_F6362","Npun_F2210",-0.766080132586055
"Npun_F6362","Npun_R2217",-0.837823142416925
"Npun_F6362","Npun_F2218",-0.806217428833566
"Npun_F6362","Npun_R2221",-0.761361212877133
"Npun_F6362","Npun_R2243",-0.818352851576439
"Npun_F6362","Npun_R2259",-0.754859797683502
"Npun_F6362","Npun_F2276",-0.842953652954048
"Npun_F6362","Npun_R2352",-0.77637768275738
"Npun_F6362","Npun_R2358",-0.904520817440233
"Npun_F6362","Npun_R2373",-0.842864298560485
"Npun_F6362","Npun_F2380",-0.793867820808119
"Npun_F6362","Npun_R2389",-0.751747905003166
"Npun_F6362","Npun_R2396",-0.822288787696985
"Npun_F6362","Npun_R2397",-0.812556468791185
"Npun_F6362","Npun_R2398",-0.782380856642314
"Npun_F6362","Npun_R2410",-0.821179041535725
"Npun_F6362","Npun_F2438",-0.760919874693078
"Npun_F6362","Npun_F2459",-0.846927495635188
"Npun_F6362","Npun_F2474",-0.874531739617343
"Npun_F6362","Npun_F2481",-0.774080822486903
"Npun_F6362","Npun_R2485",-0.876742560849366
"Npun_F6362","Npun_R2486",-0.783595871389753
"Npun_F6362","Npun_R2499",-0.841479464194214
"Npun_F6362","Npun_F2551",-0.850835823989616
"Npun_F6362","Npun_F2552",-0.778235551067157
"Npun_F6362","Npun_F2553",-0.830563990248343
"Npun_F6362","Npun_F2664",-0.794421645713921
"Npun_F6362","Npun_R2698",-0.766558419688015
"Npun_F6362","Npun_F2742",-0.895218137905444
"Npun_F6362","Npun_F2753",-0.780782818771078
"Npun_F6362","Npun_F2761",-0.837866927889517
"Npun_F6362","Npun_F2773",-0.763404848836178
"Npun_F6362","Npun_R2791",-0.819116026744646
"Npun_F6362","Npun_R2814",-0.83630817053007
"Npun_F6362","Npun_R2821",-0.779465128554519
"Npun_F6362","Npun_R2841",-0.838268189201327
"Npun_F6362","Npun_R2842",-0.831120409208447
"Npun_F6362","Npun_R2843",-0.815854582031907
"Npun_F6362","Npun_R2844",-0.804413423435461
"Npun_F6362","Npun_R2845",-0.774579164568473
"Npun_F6362","Npun_R2846",-0.858517938354316
"Npun_F6362","Npun_R2847",-0.917657283989546
"Npun_F6362","Npun_R2902",-0.771238932519394
"Npun_F6362","Npun_F2920",-0.768142463922318
"Npun_F6362","Npun_F2922",-0.844404724561347
"Npun_F6362","Npun_F2940",-0.845672424955272
"Npun_F6362","Npun_F2941",-0.816647002159638
"Npun_F6362","Npun_F2944",-0.790375004895585
"Npun_F6362","Npun_R3124",-0.804258274730433
"Npun_F6362","Npun_F3125",-0.778830395042794
"Npun_F6362","Npun_F3173",-0.835858398906554
"Npun_F6362","Npun_F3174",-0.831493392916609
"Npun_F6362","Npun_R3177",-0.869305675058733
"Npun_F6362","Npun_R3207",-0.775592931754473
"Npun_F6362","Npun_R3208",-0.884038562740778
"Npun_F6362","Npun_R3209",-0.808218931701712
"Npun_F6362","Npun_R3211",-0.837658585058676
"Npun_F6362","Npun_R3286",-0.870845457172662
"Npun_F6362","Npun_F3291",-0.773492890108641
"Npun_F6362","Npun_F3293",-0.81906104750931
"Npun_F6362","Npun_R3329",-0.875669816566226
"Npun_F6362","Npun_R3336",-0.894748278115185
"Npun_F6362","Npun_R3337",-0.812723665543228
"Npun_F6362","Npun_R3338",-0.839515354478688
"Npun_F6362","Npun_R3354",-0.84278164344024
"Npun_F6362","Npun_F3375",-0.784406166807657
"Npun_F6362","Npun_R3428",-0.846443030106646
"Npun_F6362","Npun_R3438",-0.804794618224267
"Npun_F6362","Npun_R3440",-0.769726591371875
"Npun_F6362","Npun_R3441",-0.764913796176276
"Npun_F6362","Npun_R3442",-0.758049448604247
"Npun_F6362","Npun_R3450",-0.754374465249096
"Npun_F6362","Npun_F3454",-0.822823483011826
"Npun_F6362","Npun_F3469",-0.792556003989695
"Npun_F6362","Npun_F3488",-0.756368758296168
"Npun_F6362","Npun_R3491",-0.85809421383101
"Npun_F6362","Npun_R3508",-0.798185710646139
"Npun_F6362","Npun_F3515",-0.892173820363626
"Npun_F6362","Npun_F3618",-0.786647355614113
"Npun_F6362","Npun_R3700",-0.870297042935005
"Npun_F6362","Npun_R3701",-0.822888957739499
"Npun_F6362","Npun_F3720",-0.760017548228081
"Npun_F6362","Npun_R3773",-0.905832238671763
"Npun_F6362","Npun_R3774",-0.847320741204463
"Npun_F6362","Npun_F3799",-0.763478830662829
"Npun_F6362","Npun_F3800",-0.831883407273089
"Npun_F6362","Npun_F3802",-0.844237615901411
"Npun_F6362","Npun_R3816",-0.813552107173274
"Npun_F6362","Npun_R3817",-0.906784455436803
"Npun_F6362","Npun_R3832",-0.758860093553484
"Npun_F6362","Npun_R3839",-0.78506865099656
"Npun_F6362","Npun_R3841",-0.831352326338311
"Npun_F6362","Npun_F3847",-0.760049647036348
"Npun_F6362","Npun_F3876",-0.860762144309606
"Npun_F6362","Npun_F3947",-0.801200014067461
"Npun_F6362","Npun_F3983",-0.84429913649041
"Npun_F6362","Npun_R3999",-0.808376350053886
"Npun_F6362","Npun_R4000",-0.876332098947314
"Npun_F6362","Npun_F4004",-0.840678729545869
"Npun_F6362","Npun_F4021",-0.79987953680773
"Npun_F6362","Npun_R4031",-0.798439901071099
"Npun_F6362","Npun_R4045",-0.776758936189624
"Npun_F6362","Npun_R4063",-0.800919766571112
"Npun_F6362","Npun_R4064",-0.855772765834207
"Npun_F6362","Npun_R4068",-0.927352457369142
"Npun_F6362","Npun_F4075",-0.861044618837672
"Npun_F6362","Npun_F4100",-0.808698817791822
"Npun_F6362","Npun_R4101",-0.839680472087478
"Npun_F6362","Npun_F4115",-0.753156612617244
"Npun_F6362","Npun_R4116",-0.753338434485678
"Npun_F6362","Npun_F4152",-0.756954875197992
"Npun_F6362","Npun_R4179",-0.830044847539916
"Npun_F6362","Npun_F4181",-0.894060513384054
"Npun_F6362","Npun_F4195",-0.79741804717927
"Npun_F6362","Npun_F4196",-0.876365342357197
"Npun_F6362","Npun_F4201",-0.861440276698006
"Npun_F6362","Npun_F4260",-0.759933490737003
"Npun_F6362","Npun_F4262",-0.851441435534039
"Npun_F6362","Npun_F4294",-0.770708521157261
"Npun_F6362","Npun_F4298",-0.815333168723268
"Npun_F6362","Npun_F4315",-0.818937227071042
"Npun_F6362","Npun_R4319",-0.801257531562577
"Npun_F6362","Npun_F4320",-0.750377974108579
"Npun_F6362","Npun_R4363",-0.759144192424584
"Npun_F6362","Npun_R4365",-0.808000094322879
"Npun_F6362","Npun_R4374",-0.804946981762857
"Npun_F6362","Npun_R4375",-0.820008204986796
"Npun_F6362","Npun_R4376",-0.869461757602448
"Npun_F6362","Npun_R4377",-0.812879386795913
"Npun_F6362","Npun_R4378",-0.82543192063467
"Npun_F6362","Npun_R4379",-0.815860578670352
"Npun_F6362","Npun_R4380",-0.760690120801308
"Npun_F6362","Npun_R4381",-0.809584710867182
"Npun_F6362","Npun_R4382",-0.803936247968023
"Npun_F6362","Npun_R4383",-0.800283932662153
"Npun_F6362","Npun_R4384",-0.797248920342525
"Npun_F6362","Npun_R4385",-0.784714680964846
"Npun_F6362","Npun_R4386",-0.751758442136951
"Npun_F6362","Npun_R4388",-0.764925740134888
"Npun_F6362","Npun_R4399",-0.798992121939816
"Npun_F6362","Npun_R4400",-0.781303283694016
"Npun_F6362","Npun_R4410",-0.766504348458013
"Npun_F6362","Npun_R4417",-0.760254193532944
"Npun_F6362","Npun_F4445",-0.765435845832316
"Npun_F6362","Npun_F4466",-0.797995446594385
"Npun_F6362","Npun_R4472",-0.810410453266414
"Npun_F6362","Npun_F4494",-0.755801421922599
"Npun_F6362","Npun_F4495",-0.817881090272136
"Npun_F6362","Npun_F4496",-0.83837410033858
"Npun_F6362","Npun_R4557",-0.831546188901603
"Npun_F6362","Npun_R4558",-0.822752388834609
"Npun_F6362","Npun_R4574",-0.796520215174162
"Npun_F6362","Npun_F4614",-0.755503671110591
"Npun_F6362","Npun_F4618",-0.816973559162258
"Npun_F6362","Npun_R4707",-0.7731041514035
"Npun_F6362","Npun_R4738",-0.779748099307466
"Npun_F6362","Npun_F4764",-0.775893700501186
"Npun_F6362","Npun_R4768",-0.757150351614558
"Npun_F6362","Npun_R4778",-0.864790226863092
"Npun_F6362","Npun_R4804",-0.820298771785776
"Npun_F6362","Npun_R4806",-0.888174230738523
"Npun_F6362","Npun_F4827",-0.804534976741097
"Npun_F6362","Npun_F4831",-0.843883185255195
"Npun_F6362","Npun_F4832",-0.918756411994186
"Npun_F6362","Npun_R4849",-0.790141183523777
"Npun_F6362","Npun_R4850",-0.837519746855943
"Npun_F6362","Npun_R4851",-0.77385642459743
"Npun_F6362","Npun_F4860",-0.802342544442326
"Npun_F6362","Npun_F4861",-0.773766241687703
"Npun_F6362","Npun_F4862",-0.819744615425337
"Npun_F6362","Npun_F4863",-0.855310017198517
"Npun_F6362","Npun_F4864",-0.841260098292711
"Npun_F6362","Npun_R4876",-0.84245564285345
"Npun_F6362","Npun_R4877",-0.843620457874165
"Npun_F6362","Npun_R4905",-0.866376055600154
"Npun_F6362","Npun_R4938",-0.760294306041944
"Npun_F6362","Npun_F4943",-0.753413709110165
"Npun_F6362","Npun_R4958",-0.78827144894921
"Npun_F6362","Npun_R4972",-0.77655892880225
"Npun_F6362","Npun_F5001",-0.814318599401175
"Npun_F6362","Npun_R5060",-0.795058094883937
"Npun_F6362","Npun_R5086",-0.76805217248611
"Npun_F6362","Npun_F5122",-0.788429306301771
"Npun_F6362","Npun_R5160",-0.766390879847099
"Npun_F6362","Npun_R5161",-0.766808355378077
"Npun_F6362","Npun_R5173",-0.821938151090071
"Npun_F6362","Npun_F5180",-0.777751216488609
"Npun_F6362","Npun_R5217",-0.788961076674397
"Npun_F6362","Npun_R5218",-0.75807853202331
"Npun_F6362","Npun_F5245",-0.782109195916663
"Npun_F6362","Npun_R5284",-0.787794166574639
"Npun_F6362","Npun_R5354",-0.890961216505847
"Npun_F6362","Npun_F5381",-0.75812601140828
"Npun_F6362","Npun_R5387",-0.787859485566511
"Npun_F6362","Npun_F5408",-0.848261386749809
"Npun_F6362","Npun_R5441",-0.839104871762601
"Npun_F6362","Npun_F5460",-0.767432752542718
"Npun_F6362","Npun_F5466",-0.776171397914094
"Npun_F6362","Npun_R5468",-0.883797608030874
"Npun_F6362","Npun_R5469",-0.877939176031038
"Npun_F6362","Npun_R5470",-0.791579250733759
"Npun_F6362","Npun_R5472",-0.821474886973822
"Npun_F6362","Npun_F5478",-0.825192010391447
"Npun_F6362","Npun_R5509",-0.807838913042194
"Npun_F6362","Npun_R5510",-0.7913622136363
"Npun_F6362","Npun_F5531",-0.763633713104712
"Npun_F6362","Npun_F5559",-0.882680889060545
"Npun_F6362","Npun_R5577",-0.893726642482786
"Npun_F6362","Npun_F5586",-0.830655098975116
"Npun_F6362","Npun_R5615",-0.862517577524567
"Npun_F6362","Npun_R5623",-0.759680380775927
"Npun_F6362","Npun_R5674",-0.884770049849397
"Npun_F6362","Npun_F5681",-0.781723488462042
"Npun_F6362","Npun_R5719",-0.811046535701608
"Npun_F6362","Npun_R5730",-0.784870774833173
"Npun_F6362","Npun_F5758",-0.831342614218919
"Npun_F6362","Npun_R5769",-0.780946777519728
"Npun_F6362","Npun_F5778",-0.830712363076158
"Npun_F6362","Npun_R5798",-0.75713008937931
"Npun_F6362","Npun_R5810",-0.761887700596735
"Npun_F6362","Npun_R5813",-0.7976566431035
"Npun_F6362","Npun_R5815",-0.787119770265873
"Npun_F6362","Npun_R5816",-0.794940531416102
"Npun_F6362","Npun_R5823",-0.783274442282607
"Npun_F6362","Npun_F5843",-0.755217133563303
"Npun_F6362","Npun_F5844",-0.838619715813602
"Npun_F6362","Npun_F5939",-0.773777791097561
"Npun_F6362","Npun_R5966",-0.857634512358856
"Npun_F6362","Npun_R6017",-0.780811657950308
"Npun_F6362","Npun_F6039",-0.796440954090095
"Npun_F6362","Npun_R6144",-0.769605451638606
"Npun_F6362","Npun_F6211",-0.868063172565978
"Npun_F6362","Npun_F6250",-0.848959778626703
"Npun_F6362","Npun_F6251",-0.85611139865011
"Npun_F6362","Npun_F6252",-0.866539854578409
"Npun_F6362","Npun_R6266",-0.775447887963188
"Npun_F6362","Npun_F6305",-0.766632606898762
"Npun_F6362","Npun_F6373",-0.779003165866557
"Npun_F6362","Npun_R6379",-0.806351957398768
"Npun_F6362","Npun_R6402",-0.85197769329515
"Npun_F6362","Npun_R6458",-0.753566283287935
"Npun_F6362","Npun_F6483",-0.758099172126478
"Npun_F6362","Npun_R6495",-0.897270529027492
"Npun_F6362","Npun_F6582",-0.88213474815563
"Npun_F6362","Npun_R6587",-0.841883186475263
"Npun_F6362","Npun_AR031",-0.872038179111636
"Npun_F6362","Npun_AR032",-0.85272918876549
"Npun_F6362","Npun_AR033",-0.920141113768152
"Npun_F6362","Npun_AR034",-0.903476258268992
"Npun_F6362","Npun_AR035",-0.799728232214387
"Npun_F6362","Npun_AR038",-0.76187349013071
"Npun_F6362","Npun_AR042",-0.795375203085772
"Npun_F6362","Npun_AR046",-0.77016383091724
"Npun_F6362","Npun_AR047",-0.783370324397485
"Npun_F6362","Npun_AF052",-0.855727572369373
"Npun_F6362","Npun_AF063",-0.780676031380754
"Npun_F6362","Npun_AF181",-0.799915652907909
"Npun_F6362","Npun_AF193",-0.767340395262723
"Npun_F6362","Npun_AF194",-0.823498538803334
"Npun_F6362","Npun_AF228",-0.843544608108344
"Npun_F6362","Npun_AF233",-0.789849287764371
"Npun_F6362","Npun_AR240",-0.908346135239863
"Npun_F6362","Npun_AF243",-0.893626104689149
"Npun_F6362","Npun_BF004",-0.81773800702018
"Npun_F6362","Npun_BF005",-0.860156789905144
"Npun_F6362","Npun_BR007",-0.863737869989363
"Npun_F6362","Npun_BF038",-0.760084476368936
"Npun_F6362","Npun_BR039",-0.780399489421888
"Npun_F6362","Npun_BR040",-0.842103868066958
"Npun_F6362","Npun_BF041",-0.842233378809982
"Npun_F6362","Npun_BF042",-0.818825641546952
"Npun_F6362","Npun_BF043",-0.810244528398557
"Npun_F6362","Npun_BF044",-0.797969777555093
"Npun_F6362","Npun_BF045",-0.823405260516684
"Npun_F6362","Npun_BF047",-0.765593438524195
"Npun_F6362","Npun_BF050",-0.875527310952203
"Npun_F6362","Npun_BF051",-0.849852537217131
"Npun_F6362","Npun_BF052",-0.85606286875062
"Npun_F6362","Npun_BF053",-0.836292204225833
"Npun_F6362","Npun_BF055",-0.768235065251772
"Npun_F6362","Npun_BR059",-0.81242794872244
"Npun_F6362","Npun_BF134",-0.808917194037
"Npun_F6362","Npun_BR158",-0.824978524362109
"Npun_F6362","Npun_BF179",-0.808588394116864
"Npun_F6362","Npun_BF180",-0.75149467935059
"Npun_F6362","Npun_BR187",-0.791236740579103
"Npun_F6362","Npun_BR188",-0.912221671633819
"Npun_F6362","Npun_BF189",-0.764967745224776
"Npun_F6362","Npun_BF202",-0.781744574371338
"Npun_F6362","Npun_BF205",-0.852460071256447
"Npun_F6362","Npun_BR206",-0.896106248059754
"Npun_F6362","Npun_BR220",-0.765783307180902
"Npun_F6362","Npun_CF051",-0.8520156501719
"Npun_F6362","Npun_CR052",-0.864072299423571
"Npun_F6362","Npun_CR053",-0.846487714121089
