"Gene1","Gene2","CorrelationValue"
"Npun_R2903","Npun_F0005",0.764279244697367
"Npun_R2903","Npun_R0012",0.805788972072819
"Npun_R2903","Npun_R0051",0.869721354588868
"Npun_R2903","Npun_F0098",0.857820849791425
"Npun_R2903","Npun_F0114",0.767339831973588
"Npun_R2903","Npun_R0147",0.758842414936092
"Npun_R2903","Npun_F0162",0.857137511831264
"Npun_R2903","Npun_R0295",0.796283043881152
"Npun_R2903","Npun_F0325",0.880447811442009
"Npun_R2903","Npun_F0336",0.762834715272717
"Npun_R2903","Npun_F0338",0.802574387621664
"Npun_R2903","Npun_F0347",0.851672697245164
"Npun_R2903","Npun_F0348",0.898503103520856
"Npun_R2903","Npun_F0349",0.883587876109292
"Npun_R2903","Npun_F0378",0.758812681183407
"Npun_R2903","Npun_R0381",0.781019569321345
"Npun_R2903","Npun_R0382",0.814940258483299
"Npun_R2903","Npun_R0386",0.790173822897886
"Npun_R2903","Npun_R0387",0.781517374972184
"Npun_R2903","Npun_R0390",0.806529191699924
"Npun_R2903","Npun_R0416",0.81094095823264
"Npun_R2903","Npun_R0440",0.8528855460787
"Npun_R2903","Npun_F0441",0.830987946317462
"Npun_R2903","Npun_R0465",0.772353706822796
"Npun_R2903","Npun_R0482",0.876832142663647
"Npun_R2903","Npun_F0524",0.90165041506498
"Npun_R2903","Npun_F0525",0.754670966069293
"Npun_R2903","Npun_F0587",0.773810659843385
"Npun_R2903","Npun_R0588",0.848783869577268
"Npun_R2903","Npun_R0591",0.80055173767912
"Npun_R2903","Npun_R0592",0.81604821415678
"Npun_R2903","Npun_F0596",0.805647085198362
"Npun_R2903","Npun_F0626",0.792208311000832
"Npun_R2903","Npun_F0660",0.859034023520356
"Npun_R2903","Npun_R0667",0.80733943504174
"Npun_R2903","Npun_F0696",0.782254407955509
"Npun_R2903","Npun_F0724",0.788389695344188
"Npun_R2903","Npun_F0728",0.862406438440878
"Npun_R2903","Npun_R0729",0.880061251120413
"Npun_R2903","Npun_R0730",0.820897043246649
"Npun_R2903","Npun_R0731",0.776637367810857
"Npun_R2903","Npun_F0732",0.813261607049922
"Npun_R2903","Npun_F0735",0.765720411036292
"Npun_R2903","Npun_F0760",0.776202579555453
"Npun_R2903","Npun_F0762",0.787938634503693
"Npun_R2903","Npun_R0781",0.80549344284884
"Npun_R2903","Npun_F0783",0.800073351826451
"Npun_R2903","Npun_R0786",0.788905994582606
"Npun_R2903","Npun_F0789",0.909264834066237
"Npun_R2903","Npun_F0818",0.919291580857711
"Npun_R2903","Npun_F0824",0.791581571011764
"Npun_R2903","Npun_F0825",0.755569272857766
"Npun_R2903","Npun_R0884",0.755557656551145
"Npun_R2903","Npun_F0891",0.891119787650318
"Npun_R2903","Npun_F0893",0.864720860189302
"Npun_R2903","Npun_R0904",0.799922059166608
"Npun_R2903","Npun_R0909",0.83653790421405
"Npun_R2903","Npun_R0954",0.802463283879426
"Npun_R2903","Npun_R1017",0.750330205643957
"Npun_R2903","Npun_F1025",0.788772701234225
"Npun_R2903","Npun_F1057",0.797364787596968
"Npun_R2903","Npun_R1123",0.76506770169033
"Npun_R2903","Npun_F1159",0.780251660096261
"Npun_R2903","Npun_R1180",0.854863359203505
"Npun_R2903","Npun_R1193",0.774188549372654
"Npun_R2903","Npun_R1195",0.886702894246327
"Npun_R2903","Npun_F1239",0.757843420498743
"Npun_R2903","Npun_R1256",0.77198975931913
"Npun_R2903","Npun_R1304",0.876779189267051
"Npun_R2903","Npun_F1315",0.854022274860924
"Npun_R2903","Npun_R1349",0.79601733145992
"Npun_R2903","Npun_R1471",0.772957978460756
"Npun_R2903","Npun_R1472",0.860369051337106
"Npun_R2903","Npun_F1478",0.753644304057975
"Npun_R2903","Npun_R1491",0.803171566425091
"Npun_R2903","Npun_R1493",0.756756536758095
"Npun_R2903","Npun_F1518",0.905080962297596
"Npun_R2903","Npun_R1524",0.76929546686625
"Npun_R2903","Npun_R1525",0.807172573976637
"Npun_R2903","Npun_R1544",0.807998616786155
"Npun_R2903","Npun_R1556",0.797920709418435
"Npun_R2903","Npun_R1558",0.902628861666796
"Npun_R2903","Npun_R1564",0.833087669728455
"Npun_R2903","Npun_R1575",0.761393746101134
"Npun_R2903","Npun_R1598",0.873547845866247
"Npun_R2903","Npun_R1599",0.778426836650391
"Npun_R2903","Npun_R1607",0.794167213964668
"Npun_R2903","Npun_R1619",0.751564552516035
"Npun_R2903","Npun_F1752",0.768720120896807
"Npun_R2903","Npun_R1878",0.775658323251141
"Npun_R2903","Npun_F1899",0.818364805184452
"Npun_R2903","Npun_F1908",0.750441479216725
"Npun_R2903","Npun_F1909",0.794545661747198
"Npun_R2903","Npun_R1917",0.777678923044704
"Npun_R2903","Npun_R2031",0.796959310531531
"Npun_R2903","Npun_R2194",0.807163851362546
"Npun_R2903","Npun_R2267",0.860170458896495
"Npun_R2903","Npun_F2302",0.779527518541132
"Npun_R2903","Npun_F2347",0.817065694154054
"Npun_R2903","Npun_F2351",0.782091014170705
