"Gene1","Gene2","CorrelationValue"
"Npun_R3691","Npun_F0013",-0.785897978107183
"Npun_R3691","Npun_R0030",-0.840671128760611
"Npun_R3691","Npun_R0031",-0.82522162420011
"Npun_R3691","Npun_F0077",-0.771418834757012
"Npun_R3691","Npun_F0114",-0.832358269630051
"Npun_R3691","Npun_F0121",-0.840628645172863
"Npun_R3691","Npun_F0166",-0.855052678771599
"Npun_R3691","Npun_F0242",-0.887837470429424
"Npun_R3691","Npun_R0243",-0.859041220229333
"Npun_R3691","Npun_R0302",-0.790538474800947
"Npun_R3691","Npun_F0310",-0.759286717047563
"Npun_R3691","Npun_R0377",-0.778164691921427
"Npun_R3691","Npun_R0444",-0.841506210132251
"Npun_R3691","Npun_F0448",-0.809149424981772
"Npun_R3691","Npun_F0449",-0.815977835536153
"Npun_R3691","Npun_R0465",-0.788865706129801
"Npun_R3691","Npun_R0493",-0.879107864259482
"Npun_R3691","Npun_R0590",-0.789855996656491
"Npun_R3691","Npun_F0626",-0.787457835953751
"Npun_R3691","Npun_R0630",-0.882425884603742
"Npun_R3691","Npun_R0635",-0.764527105359464
"Npun_R3691","Npun_F0722",-0.753392401618994
"Npun_R3691","Npun_F0724",-0.765808714875052
"Npun_R3691","Npun_F0725",-0.784299162603442
"Npun_R3691","Npun_F0735",-0.829354957716117
"Npun_R3691","Npun_F0736",-0.812050148890572
"Npun_R3691","Npun_F0761",-0.761469624859938
"Npun_R3691","Npun_R0829",-0.805252331886001
"Npun_R3691","Npun_R0836",-0.839163432334095
"Npun_R3691","Npun_R0854",-0.755263189896522
"Npun_R3691","Npun_F0878",-0.795951292842975
"Npun_R3691","Npun_R0879",-0.771702169525383
"Npun_R3691","Npun_F0880",-0.831808432042486
"Npun_R3691","Npun_F0913",-0.808827175214447
"Npun_R3691","Npun_R0914",-0.792542435674525
"Npun_R3691","Npun_F0915",-0.853109703259994
"Npun_R3691","Npun_F0981",-0.859597409434473
"Npun_R3691","Npun_R0987",-0.827208864087887
"Npun_R3691","Npun_F0996",-0.757023231222053
"Npun_R3691","Npun_R0998",-0.907253896205392
"Npun_R3691","Npun_R1005",-0.891039952328163
"Npun_R3691","Npun_F1009",-0.788990928457225
"Npun_R3691","Npun_F1010",-0.769313516145555
"Npun_R3691","Npun_F1013",-0.793666074086394
"Npun_R3691","Npun_R1017",-0.848730752325784
"Npun_R3691","Npun_F1023",-0.83942427945838
"Npun_R3691","Npun_R1054",-0.834286606577125
"Npun_R3691","Npun_F1056",-0.864618996440101
"Npun_R3691","Npun_F1057",-0.824079937870649
"Npun_R3691","Npun_F1135",-0.788723286616925
"Npun_R3691","Npun_F1141",-0.765153136258164
"Npun_R3691","Npun_F1169",-0.920501161961074
"Npun_R3691","Npun_F1179",-0.803032275816763
"Npun_R3691","Npun_R1218",-0.826139603766676
"Npun_R3691","Npun_F1219",-0.794919754990042
"Npun_R3691","Npun_F1230",-0.84141488977024
"Npun_R3691","Npun_F1239",-0.773502766412888
"Npun_R3691","Npun_R1240",-0.918944735673783
"Npun_R3691","Npun_F1306",-0.841219276063708
"Npun_R3691","Npun_F1338",-0.853562332194826
"Npun_R3691","Npun_F1339",-0.754177173463923
"Npun_R3691","Npun_F1365",-0.835637253658945
"Npun_R3691","Npun_R1390",-0.77348323999069
"Npun_R3691","Npun_F1401",-0.755535178811603
"Npun_R3691","Npun_F1402",-0.779358882110073
"Npun_R3691","Npun_F1403",-0.770119919789372
"Npun_R3691","Npun_F1405",-0.832410042346889
"Npun_R3691","Npun_F1408",-0.773323072274459
"Npun_R3691","Npun_F1412",-0.843602780905845
"Npun_R3691","Npun_F1413",-0.846375969936239
"Npun_R3691","Npun_F1415",-0.823328348608927
"Npun_R3691","Npun_F1416",-0.821202454721648
"Npun_R3691","Npun_F1433",-0.835113670848969
"Npun_R3691","Npun_F1435",-0.841259324076728
"Npun_R3691","Npun_R1483",-0.870757221751016
"Npun_R3691","Npun_F1484",-0.896899700106811
"Npun_R3691","Npun_R1507",-0.788268339853626
"Npun_R3691","Npun_R1517",-0.835696838713314
"Npun_R3691","Npun_R1548",-0.817674991648607
"Npun_R3691","Npun_R1559",-0.865993415993162
"Npun_R3691","Npun_R1573",-0.786018175001507
"Npun_R3691","Npun_R1575",-0.799004130792146
"Npun_R3691","Npun_R1580",-0.891488092930613
"Npun_R3691","Npun_R1606",-0.834366371797507
"Npun_R3691","Npun_R1607",-0.788961108617772
"Npun_R3691","Npun_R1621",-0.811097252551246
"Npun_R3691","Npun_R1631",-0.803364051286564
"Npun_R3691","Npun_F1653",-0.761421304630076
"Npun_R3691","Npun_R1687",-0.823665692365295
"Npun_R3691","Npun_R1690",-0.841088895899206
"Npun_R3691","Npun_R1698",-0.911838116759812
"Npun_R3691","Npun_R1705",-0.808991823238221
"Npun_R3691","Npun_R1726",-0.900141972318555
"Npun_R3691","Npun_F1746",-0.764315531774412
"Npun_R3691","Npun_F1747",-0.770657066796939
"Npun_R3691","Npun_F1748",-0.812321256564349
"Npun_R3691","Npun_F1749",-0.804393532594809
"Npun_R3691","Npun_F1833",-0.895328783316082
"Npun_R3691","Npun_F1932",-0.814239124748484
"Npun_R3691","Npun_F1933",-0.755053016202631
"Npun_R3691","Npun_F1939",-0.813724414095527
"Npun_R3691","Npun_F1941",-0.77163148223604
"Npun_R3691","Npun_F1942",-0.800043132637478
"Npun_R3691","Npun_R1956",-0.96612528654595
"Npun_R3691","Npun_F1967",-0.777455983340323
"Npun_R3691","Npun_R1985",-0.906227798906664
"Npun_R3691","Npun_R1992",-0.774580595210394
"Npun_R3691","Npun_R1996",-0.81953966331674
"Npun_R3691","Npun_R1997",-0.911046855758872
"Npun_R3691","Npun_F2020",-0.818355324453345
"Npun_R3691","Npun_F2208",-0.764129785341057
"Npun_R3691","Npun_F2210",-0.846188082949545
"Npun_R3691","Npun_F2218",-0.826512136101893
"Npun_R3691","Npun_R2221",-0.905696808306843
"Npun_R3691","Npun_R2273",-0.79218403733646
"Npun_R3691","Npun_R2290",-0.788328767752206
"Npun_R3691","Npun_R2348",-0.857566574729512
"Npun_R3691","Npun_F2349",-0.937799784352958
"Npun_R3691","Npun_R2358",-0.757743985912111
"Npun_R3691","Npun_F2380",-0.884380994233852
"Npun_R3691","Npun_R2396",-0.85021712061794
"Npun_R3691","Npun_R2397",-0.850773858879615
"Npun_R3691","Npun_R2410",-0.827056299600822
"Npun_R3691","Npun_R2426",-0.764292637628642
"Npun_R3691","Npun_R2468",-0.810396397021762
"Npun_R3691","Npun_R2471",-0.773078264966275
"Npun_R3691","Npun_R2486",-0.926681461184285
"Npun_R3691","Npun_R2499",-0.821569787646884
"Npun_R3691","Npun_F2504",-0.842462985344781
"Npun_R3691","Npun_R2519",-0.849017187953929
"Npun_R3691","Npun_R2520",-0.774246755231694
"Npun_R3691","Npun_F2551",-0.836774524656543
"Npun_R3691","Npun_F2552",-0.77057103943595
"Npun_R3691","Npun_F2553",-0.845210979986662
"Npun_R3691","Npun_R2561",-0.894800482671141
"Npun_R3691","Npun_F2714",-0.75026046243394
"Npun_R3691","Npun_F2715",-0.8657555098427
"Npun_R3691","Npun_F2730",-0.812655534462824
"Npun_R3691","Npun_F2731",-0.811736790511323
"Npun_R3691","Npun_R2734",-0.873075517338551
"Npun_R3691","Npun_F2741",-0.776368976222063
"Npun_R3691","Npun_F2745",-0.764139384590007
"Npun_R3691","Npun_F2753",-0.891513159802865
"Npun_R3691","Npun_F2761",-0.815626582698708
"Npun_R3691","Npun_R2789",-0.882409152490766
"Npun_R3691","Npun_R2790",-0.935898970844075
"Npun_R3691","Npun_R2791",-0.890090677208298
"Npun_R3691","Npun_F2803",-0.912792261192942
"Npun_R3691","Npun_F2809",-0.785359090955909
"Npun_R3691","Npun_R2814",-0.817702610052793
"Npun_R3691","Npun_R2832",-0.871840333405675
"Npun_R3691","Npun_R2841",-0.759642852276949
"Npun_R3691","Npun_R2842",-0.874170384043636
"Npun_R3691","Npun_R2844",-0.924653256163403
"Npun_R3691","Npun_R2845",-0.928283302333635
"Npun_R3691","Npun_R2846",-0.87034434384921
"Npun_R3691","Npun_R2847",-0.803571243802419
"Npun_R3691","Npun_R2871",-0.786794037814463
"Npun_R3691","Npun_F2889",-0.764844465670947
"Npun_R3691","Npun_F2920",-0.825738781742953
"Npun_R3691","Npun_F2922",-0.945964347238413
"Npun_R3691","Npun_F2940",-0.856057810249159
"Npun_R3691","Npun_R2950",-0.759766530958681
"Npun_R3691","Npun_F3174",-0.77430636979487
"Npun_R3691","Npun_R3207",-0.787639206541991
"Npun_R3691","Npun_R3250",-0.842712848542949
"Npun_R3691","Npun_R3283",-0.841398902668108
"Npun_R3691","Npun_R3286",-0.829079599374938
"Npun_R3691","Npun_R3288",-0.831410966401878
"Npun_R3691","Npun_F3291",-0.875395661809395
"Npun_R3691","Npun_R3336",-0.84176019498158
"Npun_R3691","Npun_R3337",-0.922802216617789
"Npun_R3691","Npun_R3353",-0.823334072138262
"Npun_R3691","Npun_R3354",-0.871142194993081
"Npun_R3691","Npun_F3362",-0.775222361595834
"Npun_R3691","Npun_F3375",-0.824664942118138
"Npun_R3691","Npun_R3440",-0.769340814603043
"Npun_R3691","Npun_F3469",-0.766275829632775
"Npun_R3691","Npun_R3482",-0.894813489078662
"Npun_R3691","Npun_R3508",-0.792056765891029
"Npun_R3691","Npun_F3544",-0.75941320066403
"Npun_R3691","Npun_R3615",-0.897565640859721
"Npun_R3691","Npun_F3618",-0.871764952859373
"Npun_R3691","Npun_R3636",-0.830945157224349
"Npun_R3691","Npun_R3637",-0.878365034136368
"Npun_R3691","Npun_F3676",-0.829633424675954
"Npun_R3691","Npun_R3693",-0.799847198003606
"Npun_R3691","Npun_R3700",-0.910928861754933
"Npun_R3691","Npun_F3720",-0.895233948068512
"Npun_R3691","Npun_F3727",-0.871207219211015
"Npun_R3691","Npun_F3730",-0.793594427516927
"Npun_R3691","Npun_R3755",-0.780703621556756
"Npun_R3691","Npun_R3773",-0.759983253690683
"Npun_R3691","Npun_R3783",-0.826318724913226
"Npun_R3691","Npun_F3799",-0.782312247259109
"Npun_R3691","Npun_R3801",-0.794552478788256
"Npun_R3691","Npun_F3802",-0.82147053734923
"Npun_R3691","Npun_F3803",-0.904968467080954
"Npun_R3691","Npun_F3804",-0.811480484086189
"Npun_R3691","Npun_R3806",-0.85280601791312
"Npun_R3691","Npun_R3807",-0.87154612602809
"Npun_R3691","Npun_F3811",-0.86945528845077
"Npun_R3691","Npun_R3817",-0.791597895528714
"Npun_R3691","Npun_F3818",-0.870334677389185
"Npun_R3691","Npun_F3819",-0.890127124688808
"Npun_R3691","Npun_R3828",-0.890812410832702
"Npun_R3691","Npun_R3831",-0.764820165731906
"Npun_R3691","Npun_F3847",-0.795932275600871
"Npun_R3691","Npun_F3848",-0.842518965873122
"Npun_R3691","Npun_F3862",-0.860268847833539
"Npun_R3691","Npun_F3863",-0.797528047889199
"Npun_R3691","Npun_F3864",-0.776081568587227
"Npun_R3691","Npun_F3884",-0.806426665605057
"Npun_R3691","Npun_R3887",-0.80700362712348
"Npun_R3691","Npun_F3917",-0.778730850302491
"Npun_R3691","Npun_R3935",-0.807247212923758
"Npun_R3691","Npun_F3947",-0.810202730164403
"Npun_R3691","Npun_F3983",-0.756982560883357
"Npun_R3691","Npun_R3999",-0.785628647691273
"Npun_R3691","Npun_F4004",-0.898304428737534
"Npun_R3691","Npun_F4011",-0.848298560535882
"Npun_R3691","Npun_R4031",-0.79386071529826
"Npun_R3691","Npun_R4068",-0.774218731139185
"Npun_R3691","Npun_F4075",-0.882315312251409
"Npun_R3691","Npun_R4096",-0.855935105417788
"Npun_R3691","Npun_F4100",-0.881690291832713
"Npun_R3691","Npun_F4114",-0.789313513585136
"Npun_R3691","Npun_F4115",-0.802880827440138
"Npun_R3691","Npun_R4116",-0.852159543694016
"Npun_R3691","Npun_R4135",-0.776613714493997
"Npun_R3691","Npun_R4141",-0.766418273660001
"Npun_R3691","Npun_F4157",-0.879107060276572
"Npun_R3691","Npun_F4195",-0.887044393631823
"Npun_R3691","Npun_F4197",-0.854104123738535
"Npun_R3691","Npun_F4201",-0.82565041259612
"Npun_R3691","Npun_R4236",-0.766883615609143
"Npun_R3691","Npun_R4240",-0.847459242598734
"Npun_R3691","Npun_F4298",-0.883942035023231
"Npun_R3691","Npun_R4325",-0.900270902440526
"Npun_R3691","Npun_R4372",-0.807354742860343
"Npun_R3691","Npun_R4373",-0.802828062084635
"Npun_R3691","Npun_R4374",-0.842359072216542
"Npun_R3691","Npun_R4375",-0.80022994684924
"Npun_R3691","Npun_R4376",-0.756775528329195
"Npun_R3691","Npun_R4399",-0.77927316377445
"Npun_R3691","Npun_R4415",-0.867531635265162
"Npun_R3691","Npun_F4445",-0.958217911888105
"Npun_R3691","Npun_F4453",-0.787989817085883
"Npun_R3691","Npun_F4466",-0.957515746528709
"Npun_R3691","Npun_R4468",-0.783882968609289
"Npun_R3691","Npun_R4471",-0.873762687994997
"Npun_R3691","Npun_R4472",-0.945978303521308
"Npun_R3691","Npun_F4481",-0.842906041519723
"Npun_R3691","Npun_R4490",-0.755530150799835
"Npun_R3691","Npun_F4495",-0.88648941586456
"Npun_R3691","Npun_F4496",-0.853071852760331
"Npun_R3691","Npun_F4497",-0.770525881312794
"Npun_R3691","Npun_F4520",-0.776058151689891
"Npun_R3691","Npun_F4544",-0.79888106673593
"Npun_R3691","Npun_F4553",-0.862064211090614
"Npun_R3691","Npun_R4557",-0.901066875356624
"Npun_R3691","Npun_R4558",-0.825154818447774
"Npun_R3691","Npun_F4560",-0.751188210564863
"Npun_R3691","Npun_F4614",-0.843189308848467
"Npun_R3691","Npun_F4615",-0.802261156492776
"Npun_R3691","Npun_F4619",-0.810991735671932
"Npun_R3691","Npun_F4731",-0.832588900268492
"Npun_R3691","Npun_R4738",-0.901123131219134
"Npun_R3691","Npun_R4739",-0.802514085962202
"Npun_R3691","Npun_F4740",-0.833282583465771
"Npun_R3691","Npun_R4741",-0.783722796105878
"Npun_R3691","Npun_F4762",-0.796626637040457
"Npun_R3691","Npun_F4763",-0.755219459314844
"Npun_R3691","Npun_F4764",-0.893989894464545
"Npun_R3691","Npun_R4804",-0.778983161382365
"Npun_R3691","Npun_R4806",-0.776322181583589
"Npun_R3691","Npun_F4810",-0.845241008484437
"Npun_R3691","Npun_F4817",-0.779651543584028
"Npun_R3691","Npun_R4840",-0.776490919519945
"Npun_R3691","Npun_R4841",-0.784553376159477
"Npun_R3691","Npun_R4842",-0.810170633385513
"Npun_R3691","Npun_R4843",-0.960108780959004
"Npun_R3691","Npun_R4851",-0.848156920033417
"Npun_R3691","Npun_F4852",-0.873465529736892
"Npun_R3691","Npun_F4853",-0.849047710518546
"Npun_R3691","Npun_R4854",-0.753337465601055
"Npun_R3691","Npun_F4863",-0.893252812754794
"Npun_R3691","Npun_F4864",-0.85845839477676
"Npun_R3691","Npun_R4876",-0.778931029591505
"Npun_R3691","Npun_F4916",-0.78891864231994
"Npun_R3691","Npun_R4932",-0.869288110153351
"Npun_R3691","Npun_R4938",-0.884636086578133
"Npun_R3691","Npun_R4945",-0.75822497180263
"Npun_R3691","Npun_F4946",-0.930250898459058
"Npun_R3691","Npun_F4955",-0.874916351080383
"Npun_R3691","Npun_R4958",-0.949975424952471
"Npun_R3691","Npun_F4970",-0.841354910043526
"Npun_R3691","Npun_F5010",-0.915005874397425
"Npun_R3691","Npun_F5011",-0.820466498474252
"Npun_R3691","Npun_R5019",-0.778638582807117
"Npun_R3691","Npun_F5054",-0.817743165328446
"Npun_R3691","Npun_F5059",-0.833195095011668
"Npun_R3691","Npun_F5122",-0.840342407205302
"Npun_R3691","Npun_R5148",-0.864952372751426
"Npun_R3691","Npun_F5156",-0.851519839337889
"Npun_R3691","Npun_F5168",-0.855724888460736
"Npun_R3691","Npun_F5169",-0.755344219366368
"Npun_R3691","Npun_R5174",-0.793810312255975
"Npun_R3691","Npun_F5180",-0.790220247994968
"Npun_R3691","Npun_F5183",-0.826288065899848
"Npun_R3691","Npun_R5188",-0.762445546684978
"Npun_R3691","Npun_R5217",-0.782020143036986
"Npun_R3691","Npun_R5218",-0.869450235912783
"Npun_R3691","Npun_F5242",-0.811780111022385
"Npun_R3691","Npun_F5245",-0.832165874039038
"Npun_R3691","Npun_R5246",-0.892554328777384
"Npun_R3691","Npun_R5257",-0.775241915825212
"Npun_R3691","Npun_R5269",-0.753677036534416
"Npun_R3691","Npun_R5270",-0.81201669462649
"Npun_R3691","Npun_R5284",-0.792391115428806
"Npun_R3691","Npun_F5289",-0.836914821817339
"Npun_R3691","Npun_F5290",-0.789099498974789
"Npun_R3691","Npun_F5291",-0.799437848435952
"Npun_R3691","Npun_F5292",-0.885379825729931
"Npun_R3691","Npun_F5293",-0.863429531443518
"Npun_R3691","Npun_R5354",-0.910016325375713
"Npun_R3691","Npun_R5387",-0.813187890734652
"Npun_R3691","Npun_F5388",-0.794870811970483
"Npun_R3691","Npun_F5395",-0.761251236020926
"Npun_R3691","Npun_F5407",-0.785781403672969
"Npun_R3691","Npun_F5408",-0.857327696847548
"Npun_R3691","Npun_R5455",-0.866967402477647
"Npun_R3691","Npun_F5461",-0.858065452778847
"Npun_R3691","Npun_F5462",-0.858805604597269
"Npun_R3691","Npun_F5466",-0.755196833181005
"Npun_R3691","Npun_R5468",-0.885426124186665
"Npun_R3691","Npun_R5469",-0.874587102922186
"Npun_R3691","Npun_R5470",-0.909825989061339
"Npun_R3691","Npun_F5471",-0.885275724842431
"Npun_R3691","Npun_R5472",-0.84930852671454
"Npun_R3691","Npun_R5473",-0.871953176140153
"Npun_R3691","Npun_F5478",-0.755976375185326
"Npun_R3691","Npun_R5509",-0.818228471411353
"Npun_R3691","Npun_F5559",-0.827197495227819
"Npun_R3691","Npun_F5560",-0.753397463116133
"Npun_R3691","Npun_R5569",-0.857768938688125
"Npun_R3691","Npun_F5584",-0.900376419837602
"Npun_R3691","Npun_R5598",-0.755005781306672
"Npun_R3691","Npun_R5599",-0.791736543430788
"Npun_R3691","Npun_F5601",-0.899837247911824
"Npun_R3691","Npun_F5602",-0.755019790929262
"Npun_R3691","Npun_R5615",-0.925029267377709
"Npun_R3691","Npun_R5623",-0.867391473978371
"Npun_R3691","Npun_R5626",-0.796802820796942
"Npun_R3691","Npun_R5674",-0.826188802004533
"Npun_R3691","Npun_F5681",-0.904429168154097
"Npun_R3691","Npun_R5719",-0.903536766510994
"Npun_R3691","Npun_F5758",-0.782426979534402
"Npun_R3691","Npun_R5769",-0.852003012303792
"Npun_R3691","Npun_F5778",-0.809046575998861
"Npun_R3691","Npun_R5798",-0.801850881970594
"Npun_R3691","Npun_F5801",-0.842576233926441
"Npun_R3691","Npun_F5844",-0.86818713364776
"Npun_R3691","Npun_F5848",-0.763136184052214
"Npun_R3691","Npun_F5853",-0.856138179216573
"Npun_R3691","Npun_F5854",-0.788094934035601
"Npun_R3691","Npun_R5863",-0.923478013036563
"Npun_R3691","Npun_F5888",-0.773491162659667
"Npun_R3691","Npun_R5915",-0.815722702763713
"Npun_R3691","Npun_R5937",-0.779693830139008
"Npun_R3691","Npun_F5938",-0.860721744172973
"Npun_R3691","Npun_F5955",-0.848302507267687
"Npun_R3691","Npun_F6000",-0.802018073941883
"Npun_R3691","Npun_R6016",-0.900504627311589
"Npun_R3691","Npun_R6017",-0.941330979388299
"Npun_R3691","Npun_F6020",-0.854058575005296
"Npun_R3691","Npun_F6052",-0.750815198718095
"Npun_R3691","Npun_F6063",-0.782724518414583
"Npun_R3691","Npun_F6082",-0.882832724957902
"Npun_R3691","Npun_R6087",-0.914887225736461
"Npun_R3691","Npun_R6114",-0.823074432899348
"Npun_R3691","Npun_R6195",-0.755872339868722
"Npun_R3691","Npun_F6211",-0.761177778121381
"Npun_R3691","Npun_F6222",-0.765163288425666
"Npun_R3691","Npun_F6251",-0.899736731033021
"Npun_R3691","Npun_F6252",-0.922389085673265
"Npun_R3691","Npun_F6253",-0.814564196469521
"Npun_R3691","Npun_F6254",-0.754977458487634
"Npun_R3691","Npun_R6266",-0.927373036732492
"Npun_R3691","Npun_R6278",-0.924267256119028
"Npun_R3691","Npun_F6283",-0.75694660974329
"Npun_R3691","Npun_R6284",-0.801297288069128
"Npun_R3691","Npun_R6286",-0.759574307728218
"Npun_R3691","Npun_R6307",-0.804577847735107
"Npun_R3691","Npun_F6308",-0.908460445012145
"Npun_R3691","Npun_R6327",-0.81203698848389
"Npun_R3691","Npun_F6328",-0.777038488139766
"Npun_R3691","Npun_R6336",-0.78426427709081
"Npun_R3691","Npun_F6344",-0.836443041252029
"Npun_R3691","Npun_F6373",-0.774527797696533
"Npun_R3691","Npun_R6379",-0.819857059969041
"Npun_R3691","Npun_R6402",-0.873337853380859
"Npun_R3691","Npun_F6412",-0.805358757925533
"Npun_R3691","Npun_F6446",-0.818228636143694
"Npun_R3691","Npun_R6495",-0.765617879074705
"Npun_R3691","Npun_R6526",-0.849959300484068
"Npun_R3691","Npun_R6531",-0.799026471366087
"Npun_R3691","Npun_R6562",-0.796878761864127
"Npun_R3691","Npun_F6582",-0.800954555708628
"Npun_R3691","Npun_R6587",-0.946173780088575
"Npun_R3691","Npun_R6588",-0.924063904509436
"Npun_R3691","Npun_F6610",-0.825538482749647
"Npun_R3691","Npun_AR032",-0.837843653744682
"Npun_R3691","Npun_AR033",-0.77242092568565
"Npun_R3691","Npun_AF194",-0.751386371965502
"Npun_R3691","Npun_AR198",-0.905745233323177
"Npun_R3691","Npun_AF233",-0.821809421030431
"Npun_R3691","Npun_AR241",-0.812541280533996
"Npun_R3691","Npun_AF243",-0.819407524385066
"Npun_R3691","Npun_BR084",-0.855749108300063
"Npun_R3691","Npun_BF134",-0.789634784851773
"Npun_R3691","Npun_BF179",-0.809742031765404
"Npun_R3691","Npun_BR188",-0.852404408239861
"Npun_R3691","Npun_BF205",-0.897511751262112
"Npun_R3691","Npun_BR206",-0.873884976689768
"Npun_R3691","Npun_CF051",-0.858967712177268
"Npun_R3691","Npun_CF055",-0.773089536354446
"Npun_R3691","Npun_CF056",-0.828052872983957
"Npun_R3691","Npun_CR082",-0.788736790723618
"Npun_R3691","Npun_CR083",-0.843598170200601
"Npun_R3691","Npun_CR084",-0.87638226051517
"Npun_R3691","Npun_DR022",-0.760031381851456
"Npun_R3691","Npun_DR023",-0.927276422357449
"Npun_R3691","Npun_DF043",-0.753581994309401
"Npun_R3691","Npun_DF044",-0.86638568173058
"Npun_R3691","Npun_DF045",-0.763209072645186
"Npun_R3691","Npun_ER005",-0.762014944006502
"Npun_R3691","Npun_ER006",-0.827973960672419
"Npun_R3691","Npun_EF007",-0.833983677539804
"Npun_R3691","Npun_EF008",-0.881370171638114
"Npun_R3691","Npun_EF009",-0.842507792632671
"Npun_R3691","cSome - 169677 - predicted RNA",-0.786396099429866
"Npun_R3691","cSome - 548967 - predicted RNA",-0.752161488521476
"Npun_R3691","cSome - 1023804 - predicted RNA",-0.781343395215577
"Npun_R3691","cSome - 1163623 - predicted RNA",-0.811391663762258
"Npun_R3691","cSome - 1418796 - predicted RNA",-0.772236776260841
"Npun_R3691","cSome - 1493157 - predicted RNA",-0.827835181019871
"Npun_R3691","cSome - 1710575 - predicted RNA",-0.86873542482619
"Npun_R3691","cSome - 1896411 - predicted RNA",-0.841367622883078
"Npun_R3691","cSome - 2376378 - predicted RNA",-0.757079259078611
"Npun_R3691","cSome - 2396685 - predicted RNA",-0.841173869501429
"Npun_R3691","cSome - 2967819 - predicted RNA",-0.835904861191796
"Npun_R3691","cSome - 3411447 - predicted RNA",-0.752053285666766
"Npun_R3691","cSome - 3457562 - predicted RNA",-0.921551490854528
"Npun_R3691","cSome - 3458292 - predicted RNA",-0.873267034939681
"Npun_R3691","cSome - 3643929 - predicted RNA",-0.833629593258359
"Npun_R3691","cSome - 4043078 - predicted RNA",-0.864188357264216
"Npun_R3691","cSome - 4803824 - predicted RNA",-0.83615579334418
"Npun_R3691","cSome - 4804507 - predicted RNA",-0.803583145788777
"Npun_R3691","cSome - 4807584 - predicted RNA",-0.821954459514875
"Npun_R3691","cSome - 4817037 - predicted RNA",-0.930966576826409
"Npun_R3691","cSome - 4859969 - predicted RNA",-0.763136840870022
"Npun_R3691","cSome - 4875858 - predicted RNA",-0.817518629576999
"Npun_R3691","cSome - 4994695 - predicted RNA",-0.847967563993251
"Npun_R3691","cSome - 4994882 - predicted RNA",-0.765081135583495
"Npun_R3691","cSome - 5458093 - predicted RNA",-0.793293225781415
"Npun_R3691","cSome - 5666583 - predicted RNA",-0.842740787806035
"Npun_R3691","cSome - 5996629 - predicted RNA",-0.866877175360875
