"Translation.Start","Translation.Stop","Transcription.Start","Transcription.Stop","Synonym","Product","Dawn0-1","Dawn0-2","Dawn0-3","Dawn0","Dusk0-1","Dusk0-2","Dusk0-3","Dusk0","MidDark1-1","MidDark1-2","MidDark1-3","MidDark1","Dawn1-1","Dawn1-2","Dawn1-3","Dawn1","MidLight1-1","MidLight1-2","MidLight1-3","MidLight1","Dusk1-1","Dusk1-2","Dusk1-3","Dusk1","MidDark2-1","MidDark2-2","MidDark2-3","MidDark2","Dawn2-1","Dawn2-2","Dawn2-3","Dawn2","MidLight2-1","MidLight2-2","MidLight2-3","MidLight2","Dusk2-1","Dusk2-2","Dusk2-3","Dusk2","Dark24-1","Dark24-2","Dark24-3","Dark24","Light24-1","Light24-2","Light24-3","Light24"
167,1546,NA,NA,"Npun_F0001","chromosomal replication initiation protein",22046,24941,13566,14,30068,28721,23188,19,28902,35163,38976,24,22262,28516,17878,16,28268,28400,25566,19,37100,37579,30813,25,50702,54790,44544,36,46826,29797,28076,25,29543,25281,31390,20,45248,43346,34811,29,51003,35724,54769,34,38090,25755,24757,21
1766,2947,NA,NA,"Npun_F0002","hypothetical protein",3139,3047,0,1,2463,1438,1947,1,3565,1771,1530,1,1440,878,2826,1,2306,2041,2097,1,1841,1543,2319,1,1909,950,2200,1,2023,2660,2622,2,753,938,2325,1,1236,2099,1886,1,3075,2197,1817,1,1669,2414,3708,2
4685,3195,NA,NA,"Npun_R0003","glutamine synthetase",13637,10438,12007,8,12076,10315,9113,7,10170,9512,9938,6,15250,15642,13350,9,9857,9331,8256,6,9025,8982,10524,6,9426,12756,11457,7,12749,14769,13165,9,6977,8965,5277,4,10889,8817,12103,7,12113,16937,11937,9,8098,7895,7149,5
6053,5193,NA,NA,"Npun_R0004","class I and II aminotransferase",5920,4771,1559,4,453,7876,3802,4,2888,6644,4288,5,6642,5849,7287,7,4183,4847,4689,5,3495,3870,4556,4,4523,4113,5650,5,5573,7494,4920,6,3106,2746,6264,4,4244,3604,3973,4,7257,5752,8725,8,3845,2899,3685,4
6568,7167,6568,7214,"Npun_F0005","hypothetical protein",29797,26165,27692,46,40910,50846,62133,85,24623,28727,24529,43,26979,31941,29811,49,61830,52418,49015,90,34546,40406,45255,66,28800,31130,26691,48,26316,28006,29710,46,37194,35239,32017,58,44859,38096,44325,70,35963,28315,38953,57,35426,34813,38905,60
13253,7215,NA,7215,"Npun_R0006","hypothetical protein",146172,119409,70835,18,82502,91232,79816,13,123336,108170,107400,18,88718,87722,103929,15,67878,77206,85146,12,77308,79621,70219,12,84137,86221,80295,13,100601,114949,89671,16,52052,45361,41546,7,75625,64959,69620,11,121013,111476,149115,21,80905,75078,80793,13
14554,13250,14554,NA,"Npun_R0007","hypothetical protein",67171,79069,34844,46,56900,47709,60642,42,85976,93749,79551,66,80880,87441,50620,55,52954,48810,50699,38,64751,57851,48056,43,76969,61754,71354,53,70466,85037,66471,56,49851,40278,47722,35,50900,41600,49287,36,84643,74073,83016,61,59559,41029,47255,37
15003,16226,15003,16226,"Npun_F0008","riboflavin biosynthesis protein RibD",127884,212657,125515,126,301807,257199,283925,229,214070,267043,269001,204,184516,193444,221780,163,214162,220909,216614,177,396402,381436,370212,312,403394,346140,337102,295,219520,202170,190801,166,239383,235013,186763,180,373824,367421,364222,301,279636,259597,258170,217,234887,199564,208377,175
16487,16269,16487,16227,"Npun_R0009","hypothetical protein",37175,54908,30223,186,94956,57477,66072,332,47560,76734,69324,294,49788,46858,52538,227,58812,60543,57007,268,110475,108377,92619,474,96217,88737,74804,395,56980,46676,31678,205,67049,57411,38909,248,106808,109355,83745,456,64122,56056,67412,285,66580,67938,59340,295
18235,16727,18289,16488,"Npun_R0010","hypothetical protein",91216,70122,8917,37,62910,51618,54485,37,64899,66382,60876,42,50172,57888,62044,37,50636,60198,54752,36,46123,50400,46844,31,43936,43326,44517,29,55692,56992,51912,36,33788,32827,39904,23,54660,53989,51213,35,56422,58346,63007,39,37229,33108,43903,25
20419,18584,20532,18584,"Npun_R0011","serine/threonine protein kinase",85947,116880,138787,62,125940,138160,155933,76,133826,95073,107140,61,109940,104834,120877,60,108945,101307,100937,56,129293,124936,141387,71,109816,122314,117361,63,117592,112172,135171,66,93817,106228,89900,52,115544,129868,144060,70,151945,142468,125452,76,101117,132056,138792,67
22043,20991,22067,20991,"Npun_R0012","hypothetical protein",55510,45084,44231,45,83743,94080,120375,94,70913,48365,53890,54,43175,40857,32071,36,60151,64362,50898,55,42208,44987,53285,44,29723,36737,37313,32,30049,37194,37100,33,49053,49784,71861,54,53882,51185,63833,53,39991,41752,39811,38,42671,68325,57508,53
22525,24453,22444,24462,"Npun_F0013","alpha amylase",210374,237861,214891,114,1249357,1053425,1040832,577,396100,616872,673624,291,439837,354239,288966,187,1685967,1293265,1402878,757,2368594,2165653,2477515,1211,591522,581735,687736,321,388271,395155,410698,206,2037332,1776371,952540,823,2445337,2943672,2680848,1394,255997,253744,229715,127,3910222,3526039,3446916,1880
24966,25703,NA,NA,"Npun_F0014","hypothetical protein",5782,7383,8946,9,3920,5157,3382,5,3083,3713,2826,4,2529,1572,2921,3,2913,3275,2228,3,3465,4416,3922,5,2938,6496,4327,6,5461,5720,5357,7,3037,2817,1829,3,2927,3279,3173,4,4363,4236,2864,5,7722,13620,9871,14
26198,26716,26198,NA,"Npun_F0015","methyltransferase type 12",25573,23740,29223,50,12522,13372,14700,26,16985,22422,19447,37,18512,20221,14740,34,11391,12691,12337,23,12639,13780,14571,26,22189,17024,18731,37,22360,26832,22990,46,8565,9457,8749,17,11907,13586,13870,25,20199,19660,21027,39,7422,7884,6670,14
27501,27085,NA,NA,"Npun_R0016","hypothetical protein",8657,12723,4561,20,8147,5775,2399,13,8083,6162,6343,16,4189,4217,7722,12,4821,6264,5041,12,4909,4960,4665,11,7749,5537,6481,15,6770,5755,6223,14,3347,3646,1486,6,5321,3472,5810,11,8132,7081,8513,18,3985,8919,7501,16
27679,30159,27502,30196,"Npun_F0017","phosphoenolpyruvate synthase",46743,54575,36403,18,42825,53131,40041,18,44415,50535,43026,18,47327,57572,50499,20,65588,69216,66358,27,57576,59129,50476,22,59143,64267,61686,24,62035,55600,55614,23,95748,128834,168789,52,75147,76657,70702,29,75371,76163,71217,29,94754,160409,110434,49
30366,30908,NA,NA,"Npun_F0018","N-acetyltransferase GCN5",10204,6650,7151,14,6782,10878,11571,17,9880,8402,6941,15,7586,11175,11498,18,9027,8871,10386,17,8533,8501,7722,15,8705,7436,8144,14,8465,8848,7253,15,7600,7365,3308,11,8125,6895,8927,14,6714,6057,9655,13,6498,6942,7643,12
30967,32535,30909,32710,"Npun_F0019","glycosyl transferase family protein",36936,52525,67039,33,28913,47694,41497,25,41784,27631,29041,20,24159,31031,29370,17,24022,29757,29708,17,29849,32107,27034,18,32648,32495,43165,23,35933,39107,46242,25,21871,29106,28262,16,30845,29611,41028,21,60859,51229,45256,33,22034,37037,38232,20
32843,35149,32810,NA,"Npun_F0020","multi-sensor signal transduction histidine kinase",1516553,1570105,1647439,684,894491,918375,1193917,434,4026232,2358527,2819666,1329,1810610,1842354,1892022,801,996084,870041,742392,376,2194304,2149334,3053289,1068,2166210,2214506,2427082,983,1503646,1627463,2277605,781,1235360,1196675,1235936,529,1292539,1446334,1759417,649,1895958,1663707,1505637,731,804851,1141823,1125858,443
35094,35540,NA,35542,"Npun_F0021","response regulator receiver protein",84920,110176,282371,356,81375,136069,126233,256,188781,90858,101577,284,74854,78622,77285,172,53734,50467,50962,115,93564,92466,143974,246,85615,94704,124105,227,68203,93007,135224,221,57275,63926,50759,128,69328,71245,103213,181,113547,108759,108409,246,54522,86216,81560,165
